linear_1
C,train,test
10^-7,0.33916666666666667,0.33
10^-5,0.6383333333333333,0.63
10^-3,0.9275,0.8866666666666667
10^-2,0.96125,0.87
10^-1,0.9929166666666667,0.8433333333333334
10^0,1.0,0.8466666666666667
10^1,1.0,0.8466666666666667
10^2,1.0,0.8466666666666667
10^4,1.0,0.8466666666666667
10^6,1.0,0.8466666666666667

poly_2
C,train,test
10^-7,0.33916666666666667,0.33
10^-5,0.33916666666666667,0.33
10^-3,0.33916666666666667,0.33
10^-2,0.33916666666666667,0.33
10^-1,0.9225,0.92
10^0,0.9870833333333333,0.9366666666666666
10^1,1.0,0.94
10^2,1.0,0.94
10^4,1.0,0.94
10^6,1.0,0.94

poly_3
C,train,test
10^-7,0.33916666666666667,0.33
10^-5,0.33916666666666667,0.33
10^-3,0.33916666666666667,0.33
10^-2,0.34,0.33
10^-1,0.6708333333333333,0.57
10^0,0.9908333333333333,0.9433333333333334
10^1,1.0,0.9533333333333334
10^2,1.0,0.9533333333333334
10^4,1.0,0.9533333333333334
10^6,1.0,0.9533333333333334

poly_4
C,train,test
10^-7,0.33916666666666667,0.33
10^-5,0.33916666666666667,0.33
10^-3,0.33958333333333335,0.33
10^-2,0.3425,0.33
10^-1,0.45875,0.37666666666666665
10^0,0.98,0.7966666666666666
10^1,1.0,0.9366666666666666
10^2,1.0,0.9366666666666666
10^4,1.0,0.9366666666666666
10^6,1.0,0.9366666666666666

rbf_1
C,train,test
10^-7,0.33916666666666667,0.33
10^-5,0.33916666666666667,0.33
10^-3,0.33916666666666667,0.33
10^-2,0.33916666666666667,0.33
10^-1,0.8995833333333333,0.8966666666666666
10^0,0.9820833333333333,0.94
10^1,1.0,0.9366666666666666
10^2,1.0,0.9366666666666666
10^4,1.0,0.9366666666666666
10^6,1.0,0.9366666666666666

